ratio_edge_cases.log created successfully
============================================

BANKBARODA Mar 2020 | ROE Difference=15.41% | Category: Version Difference
BANKBARODA Mar 2020 | ROCE Difference=5.04% | Category: Formula Difference
BANKBARODA Mar 2021 | ROE Difference=14.73% | Category: Version Difference
BANKBARODA Mar 2022 | ROE Difference=8.06% | Category: Version Difference
BANKBARODA Mar 2023 | ROCE Difference=7.95% | Category: Formula Difference
BANKBARODA Mar 2024 | ROCE Difference=9.43% | Category: Formula Difference
BHARTIARTL Mar 2013 | ROE Difference=10.40% | Category: Version Difference
BHARTIARTL Mar 2013 | ROCE Difference=8.60% | Category: Formula Difference
BHARTIARTL Mar 2014 | ROE Difference=9.85% | Category: Version Difference
BHARTIARTL Mar 2014 | ROCE Difference=8.05% | Category: Formula Difference
BHARTIARTL Mar 2017 | ROE Difference=8.61% | Category: Version Difference
BHARTIARTL Mar 2017 | ROCE Difference=6.81% | Category: Formula Difference
BHARTIARTL Mar 2018 | ROE Difference=11.76% | Category: Version Difference
BHARTIARTL Mar 2018 | ROCE Difference=9.96% | Category: Formula Difference
BHARTIARTL Mar 2019 | ROE Difference=12.54% | Category: Version Difference
BHARTIARTL Mar 2019 | ROCE Difference=10.74% | Category: Formula Difference
BHARTIARTL Mar 2020 | ROE Difference=54.65% | Category: Version Difference
BHARTIARTL Mar 2020 | ROCE Difference=52.85% | Category: Formula Difference
BHARTIARTL Mar 2021 | ROE Difference=35.87% | Category: Version Difference
BHARTIARTL Mar 2021 | ROCE Difference=34.07% | Category: Formula Difference
BEL Mar 2013 | ROE Difference=15157.03% | Category: Version Difference
BEL Mar 2013 | ROCE Difference=15148.73% | Category: Formula Difference
BEL Mar 2014 | ROE Difference=13573.70% | Category: Version Difference
BEL Mar 2014 | ROCE Difference=13565.40% | Category: Formula Difference
BEL Mar 2015 | ROE Difference=17073.70% | Category: Version Difference
BEL Mar 2015 | ROCE Difference=17065.40% | Category: Formula Difference
BEL Mar 2016 | ROE Difference=11115.37% | Category: Version Difference
BEL Mar 2016 | ROCE Difference=11107.07% | Category: Formula Difference
BEL Mar 2017 | ROE Difference=10127.03% | Category: Version Difference
BEL Mar 2017 | ROCE Difference=10118.73% | Category: Formula Difference
BEL Mar 2018 | ROE Difference=4589.83% | Category: Version Difference
BEL Mar 2018 | ROCE Difference=4581.53% | Category: Formula Difference
BEL Mar 2019 | ROE Difference=3824.72% | Category: Version Difference
BEL Mar 2019 | ROCE Difference=3816.42% | Category: Formula Difference
BEL Mar 2020 | ROE Difference=3291.88% | Category: Version Difference
BEL Mar 2020 | ROCE Difference=3283.58% | Category: Formula Difference
BEL Mar 2021 | ROE Difference=3533.02% | Category: Version Difference
BEL Mar 2021 | ROCE Difference=3524.72% | Category: Formula Difference
BEL Mar 2022 | ROE Difference=3451.96% | Category: Version Difference
BEL Mar 2022 | ROCE Difference=3443.66% | Category: Formula Difference
BEL Mar 2023 | ROE Difference=3955.03% | Category: Version Difference
BEL Mar 2023 | ROCE Difference=3946.73% | Category: Formula Difference
BEL Mar 2024 | ROE Difference=4717.75% | Category: Version Difference
BEL Mar 2024 | ROCE Difference=4709.45% | Category: Formula Difference
BHEL Mar 2013 | ROE Difference=20.86% | Category: Version Difference
BHEL Mar 2013 | ROCE Difference=18.63% | Category: Formula Difference
BHEL Mar 2014 | ROE Difference=9.51% | Category: Version Difference
BHEL Mar 2014 | ROCE Difference=7.28% | Category: Formula Difference
BHEL Mar 2016 | ROCE Difference=5.46% | Category: Formula Difference
BHEL Mar 2020 | ROE Difference=6.17% | Category: Version Difference
BHEL Mar 2020 | ROCE Difference=8.40% | Category: Formula Difference
BHEL Mar 2021 | ROE Difference=11.44% | Category: Version Difference
BHEL Mar 2021 | ROCE Difference=13.67% | Category: Formula Difference
BOSCHLTD Dec 2013 | ROCE Difference=6.54% | Category: Formula Difference
BOSCHLTD Mar 2018 | ROCE Difference=6.86% | Category: Formula Difference
BOSCHLTD Mar 2020 | ROE Difference=8.99% | Category: Version Difference
